id,priority,family,semantic_partition,observed_occurrences,observed_shapes,status,required_oracle,notes
BRANCH-01,P1,branch,create force reset delete recreate,5224,unknown,covered-new,ref cursor and note graph,Create force-reset safe/forced delete multi-delete and recreate preserve pending attribution and cursor ordering
BRANCH-02,P1,branch,rename copy multi-delete upstream-only,3722,unknown,covered-new,no lost/misattributed working logs,Current/explicit rename current/explicit/forced copy attached/separate upstream unset track and no-track covered
WORKTREE-01,P1,worktree,add normal branch detach orphan no-checkout,7113,222,covered-new,shared notes + isolated working logs,Traced TestRepo add variants commit from linked cwd and verify exact shared-note AI blame
WORKTREE-02,P1,worktree,remove force move prune repair lock,5337,77,covered-new,no sibling corruption + cursor cleanup,Clean/forced remove move lock/unlock repair prune and same-path recreation covered; delayed removed-path rewrite scan fixed
PLUMB-01,P0,plumbing,commit-tree then update-ref one-to-one,378,61,covered-existing,source note migration + checked-out log,Direct TestRepo target covers reparent notes and dirty working-log migration without Graphite
PLUMB-02,P0,plumbing,multi-commit N-to-N and update-ref stdin,1097,39,covered-existing,every destination source mapping,Direct target covers three replayed commits behind one atomic update-ref plus stdin HEAD update
PLUMB-03,P0,plumbing,update-index read-tree write-tree commit-tree,1044,unknown,covered-new,Bash-fill unknown but preserve pre-existing staged source,Cacheinfo to normal commit and cacheinfo/write-tree/commit-tree/update-ref both use exact pre-index scoping
PLUMB-04,P1,plumbing,fast-import and filter rewrite,62,unknown,covered-new,batch source mapping + unknown fill,Single/multi fast-import Bash attribution with external negative; filter-branch root/multi/prune-empty rewrite mapping across disconnected histories
ADD-01,P1,add,-A default -u and partial,111517,150,covered-new,later commit exact staged subset,Existing partial suite plus -u pathspec-from-file NUL residual carry and dry-run ordering
RM-01,P1,rm,worktree/index --cached recursive,2703,152,covered-new,deletion and same-path recreation safety,Plain and recursive deletion prune vanished paths only; --cached and dry-run preserve worktree provenance
MV-01,P1,mv,rename directory case-only force,3921,16,covered-new,note follows path and edits,Directory case-only force-overwrite chained moves and Bash rename-plus-edit preserve exact provenance
SPARSE-01,P2,sparse-checkout,set add init reapply disable,1437,156,covered-new,hidden/revealed paths retain attribution,Cone/no-cone sparse-index stdin linked-worktree and dirty excluded-path cases preserve exact notes; invalid add --no-cone is non-mutating
SUBMODULE-01,P2,submodule,add update deinit absorbgitdirs,328,41,covered-new,superproject and nested repo isolation,Traced add/remote-update/deinit/reinit/absorbgitdirs plus nested-family commit preserve exact parent and child attribution
TRANSPORT-01,P1,pull,ff-only merge rebase autostash,5726,99,covered-new,note sync + graph + working-log carry,Existing FF/rebase/autostash suite plus successful merge-pull dirty carry and ff-only rejection
TRANSPORT-02,P1,push,normal upstream force delete atomic failure,60437,446,covered-new,notes pushed without local corruption,Existing upstream suite plus force-with-lease note publication delete and atomic all-or-none rejection
TRANSPORT-03,P1,fetch,normal prune refspec shallow force,42720,557,covered-new,notes/ref cursor updated without attribution loss,Explicit refspec forced rewind and prune preserve pending attribution; depth covered through shallow clone
TRANSPORT-04,P2,clone-init,normal bare no-checkout,4020,310,covered-new,initial repository tracking and notes,Normal/no-checkout/bare/shallow clones plus normal/bare init targets use traced TestRepo routing
REF-01,P2,tag,create force delete annotated,722,31,covered-new,no working-log or source-note corruption,Lightweight annotated force-update and multi-delete preserve pending AI
REF-02,P2,notes,add append copy remove prune merge,102,17,covered-new,authorship ref self-protection and sync,Auxiliary default-note lifecycle cannot damage the refs/notes/ai source note
REF-03,P2,symbolic-ref-replace,set delete rewrite,121,unknown,covered-new,checked-out branch and source notes,Custom symbolic refs and replace lifecycle are inert; moving symbolic HEAD across tips carries pending AI through backward-log reconstruction
ADMIN-01,P3,remote-config,add remove rename set-url,3784,unknown,covered-new,no authorship change + repo URL correctness,Remote add/rename/set-url/remove and local config add/get/unset preserve exact pending attribution
ADMIN-02,P3,gc-maintenance,gc repack maintenance pack-refs reflog expire,69,unknown,covered-new,notes and working logs survive,Object repack packed refs reflog truncation and maintenance lifecycle retain source notes and live logs
INVOC-01,P0,invocation,global -C -c git-dir work-tree bare,9588,unknown,covered-new,same semantic result and correct repo routing,Global config/C and explicit git-dir/work-tree commits retain exact attribution; bare targets covered by clone/init/admin suites
INVOC-02,P0,invocation,nested cwd parent cwd sibling repo,unbounded,unbounded,covered-new,no cross-repo attribution stealing,Parsed -C target drives TestRepo family registration across parent and sibling CWDs
INVOC-03,P1,invocation,env timeout command nohup nested shell,unbounded,unbounded,covered-new,trace root and Bash correlation,Bounded shell helper injects real Git sync marker through every representative wrapper
INVOC-04,P1,invocation,conditional pipeline stdin background,unbounded,unbounded,covered-new,actual completion timing and exact repo,Conditional commit update-ref stdin pipeline and detached nohup background commit all wait for actual Git completion
